,Метка часу,Где вы учитесь?,В каком вы классе?,Какие предметы вы планируете сдавать?,На какой балл по экзу ты реально рассчитываешь?,Когда ты впервые задумался о том чтобы пойти на курсы/взять репета?,Когда ты по итогу записался на курсы / взял репета?,По каким предметам ты взял репета?
122,17.01.2026 20:42:30,"БДУ, да гэтага - гомельскі гарадскі ліцэй №1",11.0,"Беларусский, Иностранный язык, Обществоведение",90+,Я считаю что сдам своими силами,,
123,17.01.2026 20:42:35,Гимназия 2 Гродно ,11.0,"Математика, Беларусский, Иностранный язык",90+,Первая половина 11го класса,Первая половина 11го класса,"Английский, математика "
124,17.01.2026 20:43:04,"Гімназия 1, Витебск",11.0,"Математика, Физика, Русский",90+,Первая половина 11го класса,Первая половина 11го класса,"Матем взяла в январе, а физику и русский в октябре"
125,17.01.2026 20:43:24,Лбгу,11.0,"Математика, Русский, Иностранный язык",90+,Первая половина 11го класса,Первая половина 11го класса,Математика
126,17.01.2026 20:44:49,ФМО,11.0,"Математика, Беларусский, Иностранный язык",90+,Вторая половина 10го класса,Первая половина 11го класса,"математика, бел яз, английский"
127,17.01.2026 20:45:40,ФМО БГУ,11.0,"Беларусский, Иностранный язык, Обществоведение",90+,Первая половина 11го класса,Первая половина 11го класса,"общество, английский"
128,17.01.2026 20:49:16,"БГУ, окончила гимназию №1 г.Витебска",11.0,"Русский, Иностранный язык, Обществоведение",90+,Я считаю что сдам своими силами,,ни по каким; готовилась сама и сдала экзамены на 99-100
129,17.01.2026 20:50:21,БГУ фмо  ,11.0,"Беларусский, Иностранный язык, Обществоведение",90+,Первая половина 10го класса,Первая половина 11го класса,Только Английский 
130,17.01.2026 20:50:45,БГУ,11.0,"Математика, Беларусский, Иностранный язык",70-80,Первая половина 11го класса,Первая половина 11го класса,
131,17.01.2026 20:51:24,Гимназия 2 г. Бреста,11.0,"Математика, Русский, Иностранный язык",90+,Первая половина 11го класса,Первая половина 11го класса,"Матем, англ"
132,17.01.2026 20:52:59,СШ 215,11.0,"Математика, Русский, Иностранный язык",90+,Первая половина 10го класса,Вторая половина 10го класса,"Математика, Английский, русский "
133,17.01.2026 20:53:33,Гимназия 50,11.0,"Математика, Физика, Русский",До 70,Я считаю что сдам своими силами,,
134,17.01.2026 20:57:06,СШ №199,11.0,"Математика, Русский, Иностранный язык",80-90,Первая половина 10го класса,Первая половина 10го класса,
135,17.01.2026 20:57:41,?,11.0,"Математика, Русский, Иностранный язык",90+,Первая половина 10го класса,Первая половина 10го класса,
136,17.01.2026 20:59:50,Я выпустилась из 7-ой гимназии города Минска,11.0,"Математика, Русский, Иностранный язык",90+,Первая половина 10го класса,Первая половина 11го класса,"По руссому онлайн-курсы, по математике и английскому офлайн-репетиторы"
137,17.01.2026 21:12:49,Лицей БГУ,11.0,"Русский, Иностранный язык, Обществоведение",90+,Первая половина 11го класса,Первая половина 11го класса,Английский 
138,17.01.2026 21:14:59,"ФМО, БГУ",11.0,"Математика, Русский, Иностранный язык",80-90,Вторая половина 10го класса,Первая половина 11го класса,"Математика, иностранный язык"
139,17.01.2026 21:15:52,"буйничская средняя школа, могилёвская область",11.0,"Русский, Иностранный язык, Обществоведение",90+,Первая половина 10го класса,Первая половина 10го класса,все
140,17.01.2026 21:18:39,средняя школа,11.0,"Иностранный язык, Обществоведение",90+,Я считаю что сдам своими силами,Думаю записаться на интенсив перед экзами (у многих курсов есть возможность записаться в конце типа взять только весну или только май или вообще только пару недель до экзов),ни по каким
141,17.01.2026 21:21:45,бгу,11.0,"Русский, Иностранный язык, Обществоведение",90+,Первая половина 10го класса,Первая половина 11го класса,"англ и рус - репет, общество - курсы"
142,17.01.2026 21:21:55,БГУ ФМО,11.0,"Математика, Русский, Иностранный язык",90+,Первая половина 10го класса,Вторая половина 10го класса,"Английский и математика, по русскому были курсы "
143,17.01.2026 21:22:46,Гимназия №29,11.0,"Русский, Иностранный язык, Обществоведение",90+,Вторая половина 10го класса,Первая половина 11го класса,По всем
144,17.01.2026 21:32:56,гимназия,11.0,"Математика, Русский, Иностранный язык",80-90,Первая половина 10го класса,Вторая половина 10го класса,Математика русский 
145,17.01.2026 21:35:53,БГУ ФМО,11.0,"Русский, Иностранный язык, Обществоведение",80-90,Первая половина 11го класса,Вторая половина 11го класса,"русский, общество, англ"
146,17.01.2026 21:37:33,В унике,11.0,"Беларусский, Иностранный язык, История",80-90,Я считаю что сдам своими силами,Думаю записаться на интенсив перед экзами (у многих курсов есть возможность записаться в конце типа взять только весну или только май или вообще только пару недель до экзов),"Только по иностранному, но не чтобы готовиться к цэ/цт, а просто чтобы поддерживать уровень"
147,17.01.2026 21:38:27,Лицей БГУ,11.0,"Математика, Русский",80-90,Первая половина 11го класса,Первая половина 11го класса,"Математика, русский язык"
148,17.01.2026 21:42:38,Бгу,11.0,"Русский, Иностранный язык, Обществоведение",90+,Вторая половина 11го класса,Вторая половина 11го класса,"Общ, англ"
149,17.01.2026 21:48:04,Пинковичская СШ,11.0,"Математика, Русский, Иностранный язык",90+,Первая половина 10го класса,Первая половина 11го класса,"Английский, математика"
150,17.01.2026 21:56:06,бгу фпми,11.0,"Математика, Физика, Русский",90+,Первая половина 10го класса,Первая половина 10го класса,физика математика русский 
151,17.01.2026 22:01:36,СШ N172 г. Минска,11.0,"Математика, Физика, Русский",80-90,Я считаю что сдам своими силами,,Ни по каким 
152,17.01.2026 22:01:49,Лицей БГУ,11.0,"Математика, Физика, Русский",80-90,Я считаю что сдам своими силами,Думаю записаться на интенсив перед экзами (у многих курсов есть возможность записаться в конце типа взять только весну или только май или вообще только пару недель до экзов),
153,17.01.2026 22:21:27,гимназия 24 ,11.0,"Математика, Беларусский, Иностранный язык",80-90,Первая половина 10го класса,Первая половина 10го класса,матем бел мова 
154,17.01.2026 22:41:20,Лицей БГУ,11.0,"Математика, Русский, Иностранный язык",90+,Вторая половина 11го класса,Думаю записаться на интенсив перед экзами (у многих курсов есть возможность записаться в конце типа взять только весну или только май или вообще только пару недель до экзов),Ни по каким 
155,17.01.2026 22:50:53,БГУ,11.0,"Математика, Русский, Иностранный язык",80-90,Первая половина 10го класса,Первая половина 10го класса,"По всем, которые сдавала (математика, английский, русский)"
156,17.01.2026 23:11:00,БГУ,11.0,"Беларусский, Иностранный язык, Обществоведение",80-90,Первая половина 10го класса,Вторая половина 10го класса,По всем предметам ходила на курсы
157,17.01.2026 23:27:10,Бгу ,11.0,"Русский, Иностранный язык, Обществоведение",90+,Первая половина 10го класса,Первая половина 10го класса,По всем
158,18.01.2026 0:15:08,ФПМИ,11.0,"Математика, Физика, Русский",90+,Я считаю что сдам своими силами,,
159,18.01.2026 2:13:22,СШ 215,11.0,"Математика, Беларусский, Иностранный язык",80-90,Первая половина 10го класса,Первая половина 10го класса,"Английский, Математика, белорусский "
160,18.01.2026 10:26:37,БГУ ФМО,11.0,"Русский, Иностранный язык, Обществоведение",80-90,Первая половина 11го класса,Вторая половина 11го класса,Англ
161,18.01.2026 13:58:05,Гимназия 16 Минска,11.0,"Русский, Иностранный язык, Обществоведение",70-80,Вторая половина 10го класса,Первая половина 11го класса,Русский 
162,18.01.2026 14:06:24,ФМО БГУ,11.0,"Беларусский, Иностранный язык, Обществоведение",70-80,Первая половина 10го класса,Вторая половина 11го класса,Иностранный язык (английский)
163,18.01.2026 22:22:58,Брестский областной лицей имени П. М. Машерова,11.0,"Русский, Биология, Химия",90+,Первая половина 10го класса,Первая половина 11го класса,"Химия, биология, русский"
164,18.01.2026 22:24:46,Средняя школа №2,11.0,"Беларусский, Биология, Химия",80-90,Вторая половина 10го класса,Вторая половина 10го класса,По всем предметам 
165,18.01.2026 22:26:02,Школа,11.0,"Беларусский, Биология, Химия",80-90,Первая половина 10го класса,Первая половина 10го класса,"Белорусский, химия, биология"
166,18.01.2026 22:27:12,лицей ,11.0,"Беларусский, Биология, Химия",80-90,Вторая половина 10го класса,Вторая половина 10го класса,"химия,биология,бел яз"
167,18.01.2026 22:28:41,ГрГМУ,11.0,"Беларусский, Биология, Химия",80-90,Первая половина 10го класса,Первая половина 10го класса,"химия, биология "
168,18.01.2026 22:29:28,сш д томашовка ,11.0,"Беларусский, Биология, Химия",80-90,Вторая половина 10го класса,Вторая половина 10го класса,химия биология 
169,18.01.2026 22:29:32,Брестский областной лицей имени П.М Машерова,11.0,"Математика, Беларусский, Химия",70-80,Я считаю что сдам своими силами,Думаю записаться на интенсив перед экзами (у многих курсов есть возможность записаться в конце типа взять только весну или только май или вообще только пару недель до экзов),Химия
170,18.01.2026 22:30:07,СШ 1 имени В.Г. Пешко г. Скидель,11.0,"Русский, Биология, Химия",90+,Первая половина 10го класса,Первая половина 10го класса,"химия, биология, русский "
171,18.01.2026 22:31:40,Школа,11.0,"Биология, Химия",90+,Я считаю что сдам своими силами,,
172,18.01.2026 22:32:03,университет,11.0,"Беларусский, Биология, Химия",70-80,Первая половина 11го класса,Первая половина 11го класса,химия
173,18.01.2026 22:32:43,школа 39 гродно,11.0,"Биология, Химия",80-90,Первая половина 10го класса,Первая половина 10го класса,хим био
